Epoch,TrainRMSE,TestRMSE
775,62.0954,103.115
776,62.0773,103.091
777,62.0566,103.058
778,62.0385,103.034
779,62.0204,103.014
780,62.0026,102.992
781,61.9844,102.965
782,61.9666,102.942
783,61.9488,102.918
784,61.9293,102.89
785,61.9117,102.867
786,61.894,102.844
787,61.8764,102.821
788,61.8435,102.761
789,61.8262,102.74
790,61.8089,102.717
791,61.7916,102.694
792,61.7742,102.67
793,61.7569,102.646
794,61.7398,102.623
795,61.7227,102.601
796,61.7056,102.579
797,61.6885,102.558
798,61.6567,102.499
799,61.6257,102.443
800,61.609,102.421
801,61.5923,102.4
802,61.5756,102.378
803,61.5591,102.357
804,61.5424,102.336
805,61.5256,102.318
806,61.5092,102.296
807,61.4934,102.278
808,61.4695,102.225
809,61.4533,102.205
810,61.4372,102.184
811,61.4212,102.163
812,61.4049,102.145
813,61.3888,102.126
814,61.3729,102.11
815,61.3571,102.088
816,61.3411,102.068
817,61.3252,102.047
818,61.3094,102.026
819,61.2939,102.004
820,61.2781,101.985
821,61.2624,101.965
822,61.2469,101.944
823,61.2313,101.923
824,61.2157,101.903
825,61.2002,101.882
826,61.1848,101.862
827,61.1697,101.844
828,61.1544,101.823
829,61.1394,101.802
830,61.1241,101.783
831,61.1088,101.763
832,61.0936,101.742
833,61.0785,101.722
834,61.0633,101.702
835,61.0466,101.675
836,61.0316,101.655
837,61.0166,101.636
838,61.0018,101.616
839,60.9869,101.595
840,60.9707,101.57
841,60.956,101.55
842,60.9412,101.531
843,60.9265,101.512
844,60.9119,101.492
845,60.8972,101.474
846,60.8827,101.454
847,60.8683,101.434
848,60.854,101.414
849,60.8397,101.396
850,60.8253,101.378
851,60.8113,101.361
852,60.7977,101.345
853,60.7835,101.325
854,60.7693,101.305
855,60.7551,101.286
856,60.741,101.267
857,60.7273,101.251
858,60.7133,101.233
859,60.699,101.209
860,60.6851,101.19
861,60.6711,101.172
862,60.6572,101.153
863,60.6438,101.136
864,60.6301,101.118
865,60.6166,101.101
866,60.6029,101.085
867,60.5821,101.038
868,60.5684,101.02
869,60.5552,101.003
870,60.5417,100.984
871,60.5284,100.966
872,60.5151,100.954
873,60.5,100.931
874,60.4872,100.915
875,60.473,100.894
876,60.4597,100.876
877,60.4466,100.858
878,60.4334,100.842
879,60.4203,100.824
880,60.4074,100.81
881,60.3943,100.791
882,60.383,100.78
883,60.3707,100.766
884,60.3577,100.748
885,60.3447,100.73
886,60.3317,100.716
887,60.3188,100.698
888,60.3059,100.681
889,60.2932,100.663
890,60.2803,100.645
891,60.2676,100.626
892,60.2533,100.603
893,60.241,100.589
894,60.2269,100.567
895,60.2126,100.545
896,60.2001,100.528
897,60.1877,100.512
898,60.1752,100.495
899,60.1628,100.477
900,60.1504,100.462
901,60.1381,100.444
902,60.126,100.426
903,60.1137,100.411
904,60.1015,100.395
905,60.0893,100.38
906,60.0772,100.362
907,60.065,100.346
908,60.0528,100.33
909,60.0408,100.312
910,60.0289,100.298
911,60.0168,100.281
912,60.0048,100.266
913,59.9924,100.247
914,59.9806,100.231
915,59.9686,100.214
916,59.9568,100.197
917,59.9451,100.18
918,59.9332,100.165
919,59.9215,100.149
920,59.9097,100.131
921,59.898,100.113
922,59.8858,100.095
923,59.8742,100.079
924,59.863,100.065
925,59.8522,100.052
926,59.8422,100.043
927,59.8307,100.027
928,59.8193,100.01
929,59.808,99.9937
930,59.7966,99.9768
931,59.7852,99.9611
932,59.7739,99.944
933,59.7627,99.9274
934,59.7515,99.9112
935,59.7404,99.8974
936,59.7292,99.8809
937,59.7181,99.8638
938,59.707,99.8478
939,59.6959,99.8315
940,59.6848,99.8156
941,59.674,99.8015
942,59.663,99.7856
943,59.6521,99.7709
944,59.6412,99.7559
945,59.6303,99.741
946,59.6197,99.7287
947,59.6089,99.713
948,59.5982,99.6983
949,59.5873,99.683
950,59.5766,99.6677
951,59.5657,99.6525
952,59.5439,99.6089
953,59.5332,99.5933
954,59.5225,99.5802
955,59.5117,99.5658
956,59.5011,99.5526
957,59.4919,99.5462
958,59.4814,99.5322
959,59.4717,99.5226
960,59.4612,99.5075
961,59.4508,99.4923
962,59.4405,99.4793
963,59.4303,99.4644
964,59.4197,99.4483
965,59.4092,99.4321
966,59.3989,99.4172
967,59.3889,99.4037
968,59.3787,99.3902
969,59.3685,99.3756
970,59.3583,99.3616
971,59.3484,99.3508
972,59.3382,99.3371
973,59.3282,99.3228
974,59.3184,99.3109
975,59.3084,99.2963
976,59.2984,99.2829
977,59.2884,99.2685
978,59.2786,99.2562
979,59.2687,99.241
980,59.2588,99.2281
981,59.2489,99.2142
982,59.239,99.1989
983,59.2292,99.1857
984,59.2194,99.1706
985,59.2096,99.1559
986,59.2,99.1428
987,59.1847,99.102
988,59.1753,99.0901
989,59.1657,99.076
990,59.155,99.0588
991,59.1456,99.0443
992,59.1359,99.0329
993,59.1262,99.0206
994,59.1166,99.0079
995,59.107,98.9954
996,59.0976,98.9828
997,59.0881,98.9694
998,59.0786,98.9559
999,59.0691,98.9427
1000,59.06,98.9325
1001,59.0511,98.9229
1002,59.0418,98.9095
1003,59.0324,98.8974
1004,59.0231,98.8837
1005,59.0138,98.8709
1006,59.0045,98.8582
1007,58.9952,98.8442
1008,58.9859,98.8294
1009,58.9769,98.817
1010,58.9677,98.8037
1011,58.9587,98.7899
1012,58.9495,98.7772
1013,58.9399,98.7616
1014,58.9307,98.7493
1015,58.9215,98.7355
1016,58.9126,98.7239
1017,58.9036,98.7125
1018,58.8946,98.6998
1019,58.8857,98.6864
1020,58.8673,98.6474
1021,58.8583,98.6359
1022,58.8494,98.6236
1023,58.8406,98.6111
1024,58.8318,98.5994
1025,58.8184,98.5617
1026,58.8011,98.5269
1027,58.7923,98.5155
1028,58.7839,98.5036
1029,58.7751,98.4923
1030,58.7664,98.481
1031,58.7578,98.4682
1032,58.7491,98.4587
1033,58.7405,98.4469
1034,58.7319,98.4356
1035,58.7233,98.4249
1036,58.7065,98.3884
1037,58.6979,98.3773
1038,58.6887,98.3632
1039,58.6801,98.3521
1040,58.6716,98.342
1041,58.6632,98.3307
1042,58.6551,98.3187
1043,58.6468,98.3072
1044,58.6382,98.2953
1045,58.6298,98.2846
1046,58.6217,98.2746
1047,58.6131,98.2637
1048,58.6045,98.252
1049,58.5963,98.2412
1050,58.5884,98.2334
1051,58.58,98.2239
1052,58.5718,98.2124
1053,58.5637,98.202
1054,58.5555,98.1919
1055,58.5473,98.1813
1056,58.5392,98.1705
1057,58.5308,98.156
1058,58.5148,98.1203
1059,58.5066,98.1105
1060,58.4985,98.1019
1061,58.4905,98.0904
1062,58.4826,98.0795
1063,58.4748,98.0699
1064,58.4668,98.0598
1065,58.4589,98.0519
1066,58.4509,98.0418
1067,58.4431,98.0296
1068,58.4353,98.0205
1069,58.4277,98.0112
1070,58.4201,98.0028
1071,58.4123,97.992
1072,58.4045,97.9807
1073,58.3966,97.9716
1074,58.389,97.9629
1075,58.3813,97.9531
1076,58.3736,97.9428
1077,58.3659,97.9326
1078,58.3585,97.9212
1079,58.3509,97.9102
1080,58.3433,97.9002
1081,58.3357,97.8893
1082,58.3281,97.8799
1083,58.3196,97.8693
1084,58.304,97.8347
1085,58.2965,97.8243
1086,58.2891,97.8134
1087,58.2816,97.8032
1088,58.2742,97.796
1089,58.2667,97.786
1090,58.2592,97.7773
1091,58.2517,97.7664
1092,58.2443,97.7558
1093,58.237,97.7456
1094,58.2287,97.7317
1095,58.2213,97.7223
1096,58.2142,97.7136
1097,58.2069,97.7035
1098,58.1998,97.6928
1099,58.1925,97.6825
1100,58.1853,97.6729
1101,58.1782,97.6623
1102,58.171,97.652
1103,58.1638,97.6434
1104,58.1566,97.6329
1105,58.1495,97.6223
1106,58.1425,97.612
1107,58.1352,97.6041
1108,58.128,97.5963
1109,58.121,97.586
1110,58.1135,97.5747
1111,58.1067,97.5657
1112,58.0995,97.5541
1113,58.0925,97.5444
1114,58.0855,97.535
1115,58.0785,97.5255
1116,58.0639,97.4934
1117,58.0571,97.4839
1118,58.0501,97.4753
1119,58.0434,97.4625
1120,58.0365,97.4519
1121,58.0295,97.4429
1122,58.0225,97.4344
1123,58.0156,97.4236
1124,58.0088,97.4137
1125,58.0019,97.4046
1126,57.9952,97.395
1127,57.9884,97.3863
1128,57.9817,97.3795
1129,57.975,97.3695
1130,57.9682,97.3601
1131,57.9615,97.3507
1132,57.9548,97.3411
1133,57.9481,97.3316
1134,57.9413,97.3235
1135,57.9347,97.3135
1136,57.9281,97.3066
1137,57.9216,97.3003
1138,57.9079,97.2696
1139,57.9012,97.26
1140,57.8948,97.2505
1141,57.8882,97.2411
1142,57.8809,97.2286
1143,57.8743,97.2197
1144,57.8678,97.212
1145,57.8618,97.2097
1146,57.8553,97.2006
1147,57.849,97.1906
1148,57.8429,97.19
1149,57.8365,97.1804
1150,57.8301,97.1707
1151,57.8237,97.1614
1152,57.8165,97.1486
1153,57.8104,97.1401
1154,57.804,97.1356
1155,57.7908,97.1047
1156,57.7847,97.0953
1157,57.7783,97.0871
1158,57.7718,97.0796
1159,57.7655,97.0709
1160,57.759,97.0642
1161,57.7466,97.0352
1162,57.7404,97.0265
1163,57.7342,97.0179
1164,57.728,97.0098
1165,57.7218,97.0014
1166,57.7155,96.9932
1167,57.7091,96.9862
1168,57.7027,96.9792
1169,57.6965,96.9709
1170,57.6904,96.9627
1171,57.6842,96.9542
1172,57.6782,96.9455
1173,57.6721,96.9372
1174,57.6659,96.9293
1175,57.6569,96.8996
1176,57.6508,96.8913
1177,57.6446,96.8839
1178,57.6387,96.8775
1179,57.632,96.8653
1180,57.6259,96.8582
1181,57.6199,96.854
1182,57.6139,96.8454
1183,57.6077,96.8347
1184,57.6017,96.8264
1185,57.5958,96.8186
1186,57.5898,96.8105
1187,57.5839,96.8025
1188,57.5779,96.7944
1189,57.572,96.786
1190,57.5601,96.7576
1191,57.5542,96.7496
1192,57.5482,96.7421
1193,57.5424,96.7342
1194,57.5369,96.7273
1195,57.5312,96.7192
1196,57.5196,96.6927
1197,57.5137,96.6859
1198,57.5079,96.6782
1199,57.502,96.6684
1200,57.4962,96.6614
1201,57.4903,96.6554
1202,57.484,96.6443
1203,57.4781,96.6377
1204,57.4724,96.63
1205,57.4667,96.6224
1206,57.4609,96.616
1207,57.4551,96.6088
1208,57.4493,96.6021
1209,57.4435,96.5948
1210,57.4378,96.5879
1211,57.4321,96.5808
1212,57.4264,96.573
1213,57.4208,96.5657
1214,57.4129,96.5369
1215,57.407,96.5311
1216,57.4014,96.524
1217,57.3957,96.5187
1218,57.3902,96.5145
1219,57.3792,96.4869
1220,57.3735,96.4836
1221,57.3624,96.4606
1222,57.3571,96.4529
1223,57.3517,96.4479
1224,57.3461,96.441
1225,57.3406,96.4344
1226,57.3351,96.4278
1227,57.3295,96.4207
1228,57.324,96.414
1229,57.3189,96.4059
1230,57.313,96.4027
1231,57.3077,96.395
1232,57.3023,96.3883
1233,57.2969,96.3816
1234,57.2917,96.3768
1235,57.2864,96.3697
1236,57.2809,96.3603
1237,57.2756,96.3531
1238,57.2702,96.3453
1239,57.2648,96.3396
1240,57.2595,96.3321
1241,57.2543,96.3248
1242,57.2489,96.3178
